	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category
0	What quería rose have done if she wasn't seen by them?	slipped silenciosamente away	What would rose have done if she wasn't seen by them?	slipped silently away	33.33	['silenciosamente']	0
1	Why ella hizo ella help them?	Ella sabía they were upset	Why did she help them?	She knew they were upset	40.0	['ella', 'sabía']	1
2	Quien poseía ¿él?	el nacional Guardia	Who owned it?	the National Guard	100.0	['guardia', 'el', 'nacional']	2
3	Who is Tibsay Lucena?	president of Venezuela's National Electoral Concejo	Who is Tibsay Lucena?	president of Venezuela's National Electoral Council	33.33	['concejo', 'electoral']	0
4	What voluntad Betty haz instead?	Teach niños mayores	What will Betty do instead?	Teach older children	66.67	['mayores', 'niños']	1
5	Entonces ¿qué pasó?	Ella consiguió muy cansado	Then what happened?	She got very tired	100.0	['ella', 'muy', 'cansado', 'consiguió']	2
6	What was Young Graham doing when Guy approached?	he had taken up a newspaper	What was Young Graham doing when Guy approached?	he had taken up a newspaper	0.0	[]	0
7	How was she able a watch su ¿trabajar?	Her La madre trabaja en el attic	How was she able to watch her work?	Her mother works in the attic	66.67	['trabaja', 'la', 'el', 'madre', 'en']	1
8	Qué hace ella ¿tejer?	suéteres for su muñecas	What does she knit?	sweaters for her dolls	75.0	['su', 'muñecas', 'suéteres']	2
9	Cuánto tiempo did the teasing go on?	about a month.	How long did the teasing go on?	about a month.	33.33	['a']	0
10	What hizo él say?	Bob would cuidar de the niños and quehaceres	What did it say?	Bob would take over care of the children and chores	60.0	['quehaceres', 'niños', 'cuidar', 'de']	1
11	¿Y en el norte?	a desierto zona	and in the North?	a desert zone	100.0	['a', 'zona', 'desierto']	2
12	Which case had he covered?	the Falworth case	Which case had he covered?	the Falworth case	0.0	[]	0
13	What ¿Paul? predict en Rolls' ¿mano?	he would become governor of Estado de Nueva York	What did Paul predict in Rolls' hand?	he would become governor of New York State	37.5	['estado', 'york', 'de', 'nueva']	1
14	¿Quién escribió el Hibbert Journal?	J. METRO. Thompson	Who wrote The Hibbert Journal?	J. M. Thompson	100.0	['metro', 'thompson', 'j']	2
15	where were they supposed to meet?	the checkout line	where were they supposed to meet?	the checkout line	0.0	[]	0
16	Why él era traveling?	He planificado a join ISIS	Why was he traveling?	He planned to join ISIS	40.0	['planificado', 'a']	1
17	¿Qué tipo de órbita es un GEO	un tipo particular	What type of orbit is a GEO	a particular type	100.0	['un', 'particular', 'tipo']	2
18	Was anyone else arrested?	Flugence's brother Russell	Was anyone else arrested?	Flugence's brother Russell	0.0	[]	0
19	Why is el va?	a visit a sick chico	Why is he going?	to visit a sick boy	60.0	['chico', 'a']	1
20	Then Que hizo él ¿hacer?	Sellado del remolque con una pared de madera.	Then what did he do?	Sealed off the trailer with a wooden wall.	100.0	['pared', 'con', 'del', 'remolque', 'de', 'madera', 'sellado', 'una']	2
21	Dónde does she live?	Near Manchester Airport	Where does she live?	Near Manchester Airport	33.33	['manchester']	0
22	What is el nombre de the Nigerian performer?	Thomas Chinedu Ehiem	What is the name of the Nigerian performer?	Thomas Chinedu Ehiem	66.67	['chinedu', 'thomas']	1
23	cuando ¿Se fue el personaje principal? ¿En vacaciones?	en the primero de julio	when did the main character go on holiday?	on the first of July	80.0	['en', 'primero', 'julio', 'de']	2
24	Why did he go there?	A visit Charley.	Why did he go there?	To visit Charley.	33.33	['a']	0
25	Donde ellos ended up?	into la espera taxi	Where they ended up?	into the waiting taxi	50.0	['la', 'espera']	1
26	qué ¿Normalmente? locate?	el desperdicio de criaturas como Osos, lobos y montaña lions.	what do they normally locate?	the waste of creatures such as bears, wolves and mountain lions.	90.91	['como', 'desperdicio', 'osos', 'lobos', 'montaña', 'de', 'el', 'y', 'criaturas']	2
27	qué is the typical story of Jesus ¿llamado?	the Nativity of Jesus	what is the typical story of Jesus called?	the Nativity of Jesus	0.0	[]	0
28	Why did Elige un bat?	Because he tenía a infancia Miedo a los murciélagos	Why did he pick a bat?	Because he had a childhood fear of bats	62.5	['infancia', 'murciélagos', 'miedo', 'tenía', 'a', 'los']	1
29	Cuando hizo ella hace eso?	Jun. 18, 1983.	When did she do that?	Jun. 18, 1983.	100.0	['1983', 'jun', '18']	2
30	What kind of estudiantes were at the school?	students with severe learning and behavioral difficulties	What kind of students were at the school?	students with severe learning and behavioral difficulties	0.0	[]	0
31	Specializing en ¿qué?	in defense and inteligencia militar	Specializing in what?	in defense and military intelligence	40.0	['inteligencia', 'militar']	1
32	Hizo el elfo care?	No lo hizo cuidado	Did the elf care?	he didn't care	100.0	['cuidado', 'lo', 'no', 'hizo']	2
33	What did some Chinese begin calling themselves?	people of Maldito	What did some Chinese begin calling themselves?	people of Han	33.33	['maldito']	0
